epoch,train_success,test_success
0,0.16933867735470942,0.18077115673510266
1,0.1512268402603906,0.15265265265265265
2,0.12625250501002003,0.13113113113113112
3,0.2219438877755511,0.2072072072072072
4,0.15465465465465467,0.15673510265398097
5,0.18145363408521303,0.1870935467733867
6,0.06760140210315473,0.09614421632448673
7,0.1071607411116675,0.12712712712712712
8,0.2636591478696742,0.25175175175175174
9,0.1566265060240964,0.17234468937875752
10,0.16224336504757136,0.16816816816816818
11,0.14493480441323972,0.14714714714714713
12,0.18036072144288579,0.17867867867867868
13,0.19919719016557952,0.22734101151727593
14,0.1824561403508772,0.1897846770155233
15,0.1123370110330993,0.11823647294589178
16,0.13319979969954931,0.14157078539269635
17,0.1683366733466934,0.17325988983475213
18,0.15215215215215216,0.15823735603405106
19,0.16032064128256512,0.15022533800701052
